"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 01 18:15:03 CST 2021","Thu Jul 01 18:15:36 CST 2021","33443","testcase","test_case01","Test_BaiduSearch","","","test01[params2]","
        登录case用例
        :param params:
        :return:
        "
"broken","Thu Jul 01 18:14:54 CST 2021","Thu Jul 01 18:15:03 CST 2021","9207","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
"passed","Thu Jul 01 18:14:30 CST 2021","Thu Jul 01 18:14:54 CST 2021","23093","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
