"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 01 17:57:25 CST 2021","Thu Jul 01 17:57:33 CST 2021","8010","testcase","test_case01","Test_BaiduSearch","","","test01[params2]","
        登录case用例
        :param params:
        :return:
        "
"broken","Thu Jul 01 17:57:09 CST 2021","Thu Jul 01 17:57:17 CST 2021","8043","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
"broken","Thu Jul 01 17:56:53 CST 2021","Thu Jul 01 17:57:07 CST 2021","14122","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
