"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 02 16:26:42 CST 2021","Fri Jul 02 16:26:57 CST 2021","15460","testcase","test_case01","Test_BaiduSearch","","","test01[params2]","
        登录case用例
        :param params:
        :return:
        "
"broken","Fri Jul 02 16:26:24 CST 2021","Fri Jul 02 16:26:40 CST 2021","15431","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
"passed","Fri Jul 02 16:26:00 CST 2021","Fri Jul 02 16:26:20 CST 2021","20335","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
