"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 02 16:25:30 CST 2021","Fri Jul 02 16:25:46 CST 2021","15501","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
"broken","Fri Jul 02 16:25:14 CST 2021","Fri Jul 02 16:25:30 CST 2021","15661","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
