"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 01 18:32:03 CST 2021","Thu Jul 01 18:32:03 CST 2021","0","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
"broken","Thu Jul 01 18:32:00 CST 2021","Thu Jul 01 18:32:00 CST 2021","0","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
