"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 02 17:05:33 CST 2021","Fri Jul 02 17:05:51 CST 2021","18730","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
"passed","Fri Jul 02 17:05:52 CST 2021","Fri Jul 02 17:07:44 CST 2021","112215","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
"broken","Fri Jul 02 17:08:04 CST 2021","Fri Jul 02 17:08:55 CST 2021","51402","testcase","test_case01","Test_BaiduSearch","","","test01[params2]","
        登录case用例
        :param params:
        :return:
        "
