"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 02 16:36:47 CST 2021","Fri Jul 02 16:37:30 CST 2021","42943","testcase","test_case01","Test_BaiduSearch","","","test01[params2]","
        登录case用例
        :param params:
        :return:
        "
"broken","Fri Jul 02 16:35:03 CST 2021","Fri Jul 02 16:35:22 CST 2021","18791","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
"passed","Fri Jul 02 16:35:42 CST 2021","Fri Jul 02 16:36:26 CST 2021","44707","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
