"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 02 18:21:49 CST 2021","Fri Jul 02 18:22:47 CST 2021","58379","testcase","test_case01","Test_BaiduSearch","","","test01[生成订单
]","
        登录case用例
        :param params:
        :return:
        "
"broken","Fri Jul 02 18:19:59 CST 2021","Fri Jul 02 18:20:18 CST 2021","18523","testcase","test_case01","Test_BaiduSearch","","","test01[无安全登录操作
]","
        登录case用例
        :param params:
        :return:
        "
"passed","Fri Jul 02 18:20:38 CST 2021","Fri Jul 02 18:21:29 CST 2021","51026","testcase","test_case01","Test_BaiduSearch","","","test01[加入购物车
]","
        登录case用例
        :param params:
        :return:
        "
