"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 02 16:30:15 CST 2021","Fri Jul 02 16:30:59 CST 2021","43131","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
"broken","Fri Jul 02 16:29:36 CST 2021","Fri Jul 02 16:29:55 CST 2021","19016","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
"passed","Fri Jul 02 16:30:59 CST 2021","Fri Jul 02 16:31:43 CST 2021","44524","testcase","test_case01","Test_BaiduSearch","","","test01[params2]","
        登录case用例
        :param params:
        :return:
        "
