"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 02 18:03:14 CST 2021","Fri Jul 02 18:03:57 CST 2021","42486","testcase","test_case01","Test_BaiduSearch","","","test01[加入购物车
]","
        登录case用例
        :param params:
        :return:
        "
"broken","Fri Jul 02 18:02:33 CST 2021","Fri Jul 02 18:02:54 CST 2021","20780","testcase","test_case01","Test_BaiduSearch","","","test01[无安全登录操作
]","
        登录case用例
        :param params:
        :return:
        "
"passed","Fri Jul 02 18:04:17 CST 2021","Fri Jul 02 18:04:58 CST 2021","41158","testcase","test_case01","Test_BaiduSearch","","","test01[生成订单
]","
        登录case用例
        :param params:
        :return:
        "
