"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 02 15:09:19 CST 2021","Fri Jul 02 15:09:57 CST 2021","37241","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
"broken","Fri Jul 02 15:10:17 CST 2021","Fri Jul 02 15:10:17 CST 2021","45","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
